CoC Number,CoC Name,Count Types,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
OK-507,Southeastern Oklahoma Regional CoC,Sheltered and Unsheltered Count,389.0,85.0,56.0,141.0,248.0,156.0,31.0,30.0,61.0,95.0,233.0,54.0,26.0,80.0,153.0,72.0,16.0,9.0,25.0,47.0,8.0,7.0,7.0,1.0,2009
OR-500,"Eugene, Springfield/Lane County CoC",Sheltered and Unsheltered Count,2232.0,681.0,318.0,999.0,1233.0,1506.0,421.0,96.0,517.0,989.0,726.0,260.0,222.0,482.0,244.0,237.0,79.0,78.0,157.0,80.0,498.0,273.0,273.0,225.0,2009
OR-501,"Portland, Gresham/Multnomah County CoC",Sheltered and Unsheltered Count,4085.0,820.0,1674.0,2494.0,1591.0,2945.0,650.0,782.0,1432.0,1513.0,1140.0,170.0,892.0,1062.0,78.0,391.0,54.0,302.0,356.0,35.0,785.0,231.0,231.0,554.0,2009
OR-502,"Medford, Ashland/Jackson County CoC",Sheltered and Unsheltered Count,899.0,85.0,769.0,854.0,45.0,756.0,71.0,646.0,717.0,39.0,143.0,14.0,123.0,137.0,6.0,57.0,6.0,49.0,55.0,2.0,41.0,27.0,27.0,14.0,2009
OR-503,Central Oregon CoC,Sheltered and Unsheltered Count,742.0,87.0,223.0,310.0,432.0,390.0,56.0,84.0,140.0,250.0,352.0,31.0,139.0,170.0,182.0,106.0,12.0,42.0,54.0,52.0,203.0,22.0,22.0,181.0,2009
OR-504,"Salem/Marion, Polk Counties CoC",Sheltered and Unsheltered Count,2366.0,205.0,461.0,666.0,1700.0,1012.0,184.0,168.0,352.0,660.0,1354.0,21.0,293.0,314.0,1040.0,442.0,8.0,89.0,97.0,345.0,137.0,76.0,76.0,61.0,2009
OR-505,Oregon Balance of State CoC,Sheltered and Unsheltered Count,4411.0,719.0,1061.0,1780.0,2631.0,2097.0,445.0,325.0,770.0,1327.0,2314.0,274.0,736.0,1010.0,1304.0,755.0,98.0,237.0,335.0,420.0,800.0,290.0,290.0,510.0,2009
OR-506,"Hillsboro, Beaverton/Washington County CoC",Sheltered and Unsheltered Count,748.0,86.0,126.0,212.0,536.0,373.0,7.0,39.0,46.0,327.0,375.0,79.0,87.0,166.0,209.0,117.0,22.0,30.0,52.0,65.0,182.0,0.0,0.0,182.0,2009
OR-507,Clackamas County CoC,Sheltered and Unsheltered Count,1826.0,32.0,95.0,127.0,1699.0,1364.0,4.0,14.0,18.0,1346.0,462.0,28.0,81.0,109.0,353.0,128.0,9.0,23.0,32.0,96.0,196.0,0.0,0.0,196.0,2009
PA-500,Philadelphia CoC,Sheltered and Unsheltered Count,6304.0,3659.0,2139.0,5798.0,506.0,3054.0,2155.0,393.0,2548.0,506.0,3250.0,1504.0,1746.0,3250.0,0.0,1020.0,477.0,543.0,1020.0,0.0,596.0,186.0,186.0,410.0,2009
PA-501,Harrisburg/Dauphin County CoC,Sheltered and Unsheltered Count,421.0,209.0,156.0,365.0,56.0,241.0,125.0,60.0,185.0,56.0,180.0,84.0,96.0,180.0,0.0,64.0,30.0,34.0,64.0,0.0,154.0,115.0,115.0,39.0,2009
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Sheltered and Unsheltered Count,778.0,374.0,353.0,727.0,51.0,272.0,158.0,63.0,221.0,51.0,506.0,216.0,290.0,506.0,0.0,134.0,57.0,77.0,134.0,0.0,92.0,55.0,55.0,37.0,2009
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Sheltered and Unsheltered Count,202.0,101.0,98.0,199.0,3.0,131.0,88.0,40.0,128.0,3.0,71.0,13.0,58.0,71.0,0.0,25.0,4.0,21.0,25.0,0.0,23.0,22.0,22.0,1.0,2009
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Sheltered and Unsheltered Count,469.0,219.0,212.0,431.0,38.0,181.0,116.0,32.0,148.0,33.0,288.0,103.0,180.0,283.0,5.0,108.0,35.0,71.0,106.0,2.0,67.0,50.0,50.0,17.0,2009
PA-505,Chester County CoC,Sheltered and Unsheltered Count,351.0,147.0,187.0,334.0,17.0,180.0,114.0,49.0,163.0,17.0,171.0,33.0,138.0,171.0,0.0,54.0,12.0,42.0,54.0,0.0,61.0,61.0,61.0,0.0,2009
PA-506,Reading/Berks County CoC,Sheltered and Unsheltered Count,385.0,169.0,209.0,378.0,7.0,223.0,121.0,95.0,216.0,7.0,162.0,48.0,114.0,162.0,0.0,57.0,16.0,41.0,57.0,0.0,48.0,45.0,45.0,3.0,2009
PA-508,Scranton/Lackawanna County CoC,Sheltered and Unsheltered Count,280.0,77.0,151.0,228.0,52.0,118.0,52.0,38.0,90.0,28.0,162.0,25.0,113.0,138.0,24.0,58.0,10.0,37.0,47.0,11.0,33.0,23.0,23.0,10.0,2009
PA-509,Eastern Pennsylvania CoC,Sheltered and Unsheltered Count,1908.0,709.0,1062.0,1771.0,137.0,791.0,390.0,272.0,662.0,129.0,1117.0,319.0,790.0,1109.0,8.0,368.0,106.0,260.0,366.0,2.0,145.0,83.0,83.0,62.0,2009
PA-510,Lancaster City & County CoC,Sheltered and Unsheltered Count,666.0,217.0,432.0,649.0,17.0,380.0,148.0,218.0,366.0,14.0,286.0,69.0,214.0,283.0,3.0,104.0,25.0,78.0,103.0,1.0,45.0,44.0,44.0,1.0,2009
PA-511,"Bristol, Bensalem/Bucks County CoC",Sheltered and Unsheltered Count,474.0,113.0,327.0,440.0,34.0,170.0,32.0,112.0,144.0,26.0,304.0,81.0,215.0,296.0,8.0,86.0,25.0,60.0,85.0,1.0,22.0,17.0,17.0,5.0,2009
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",Sheltered and Unsheltered Count,1418.0,303.0,833.0,1136.0,282.0,907.0,203.0,422.0,625.0,282.0,511.0,100.0,411.0,511.0,0.0,181.0,31.0,150.0,181.0,0.0,329.0,173.0,173.0,156.0,2009
PA-601,Western Pennsylvania CoC,Sheltered and Unsheltered Count,831.0,384.0,427.0,811.0,20.0,427.0,235.0,172.0,407.0,20.0,404.0,149.0,255.0,404.0,0.0,139.0,52.0,87.0,139.0,0.0,88.0,76.0,76.0,12.0,2009
PA-603,Beaver County CoC,Sheltered and Unsheltered Count,220.0,51.0,151.0,202.0,18.0,133.0,17.0,104.0,121.0,12.0,87.0,34.0,47.0,81.0,6.0,26.0,10.0,14.0,24.0,2.0,14.0,5.0,5.0,9.0,2009
PA-605,Erie City & County CoC,Sheltered and Unsheltered Count,389.0,222.0,128.0,350.0,39.0,176.0,113.0,54.0,167.0,9.0,213.0,109.0,74.0,183.0,30.0,73.0,31.0,30.0,61.0,12.0,81.0,72.0,72.0,9.0,2009
PR-502,Puerto Rico Balance of Commonwealth CoC,Sheltered and Unsheltered Count,1775.0,310.0,558.0,868.0,907.0,1597.0,286.0,512.0,798.0,799.0,178.0,24.0,46.0,70.0,108.0,61.0,6.0,19.0,25.0,36.0,1045.0,511.0,511.0,534.0,2009
PR-503,South-Southeast Puerto Rico CoC,Sheltered and Unsheltered Count,2295.0,241.0,216.0,457.0,1838.0,2133.0,157.0,178.0,335.0,1798.0,162.0,84.0,38.0,122.0,40.0,48.0,20.0,13.0,33.0,15.0,1150.0,150.0,150.0,1000.0,2009
RI-500,Rhode Island Statewide CoC,Sheltered and Unsheltered Count,1607.0,819.0,737.0,1556.0,51.0,1139.0,616.0,472.0,1088.0,51.0,468.0,203.0,265.0,468.0,0.0,202.0,99.0,103.0,202.0,0.0,220.0,190.0,190.0,30.0,2009
SC-500,Charleston/Low Country CoC,Sheltered and Unsheltered Count,416.0,173.0,174.0,347.0,69.0,337.0,142.0,126.0,268.0,69.0,79.0,31.0,48.0,79.0,0.0,27.0,9.0,18.0,27.0,0.0,55.0,55.0,55.0,0.0,2009
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",Sheltered and Unsheltered Count,1164.0,537.0,471.0,1008.0,156.0,753.0,392.0,208.0,600.0,153.0,411.0,145.0,263.0,408.0,3.0,131.0,46.0,84.0,130.0,1.0,210.0,140.0,140.0,70.0,2009
SC-502,Columbia/Midlands CoC,Sheltered and Unsheltered Count,1368.0,505.0,424.0,929.0,439.0,993.0,379.0,233.0,612.0,381.0,375.0,126.0,191.0,317.0,58.0,131.0,43.0,68.0,111.0,20.0,180.0,102.0,102.0,78.0,2009
SC-503,"Myrtle Beach, Sumter City & County CoC",Sheltered and Unsheltered Count,1525.0,362.0,390.0,752.0,773.0,1111.0,205.0,260.0,465.0,646.0,414.0,157.0,130.0,287.0,127.0,185.0,85.0,50.0,135.0,50.0,229.0,95.0,95.0,134.0,2009
SD-500,South Dakota Statewide CoC,Sheltered and Unsheltered Count,731.0,371.0,296.0,667.0,64.0,445.0,218.0,163.0,381.0,64.0,286.0,153.0,133.0,286.0,0.0,87.0,42.0,45.0,87.0,0.0,109.0,45.0,45.0,64.0,2009
TN-500,Chattanooga/Southeast Tennessee CoC,Sheltered and Unsheltered Count,513.0,184.0,122.0,306.0,207.0,363.0,139.0,63.0,202.0,161.0,150.0,45.0,59.0,104.0,46.0,47.0,15.0,18.0,33.0,14.0,162.0,37.0,37.0,125.0,2009
TN-501,Memphis/Shelby County CoC,Sheltered and Unsheltered Count,1613.0,489.0,1055.0,1544.0,69.0,978.0,334.0,575.0,909.0,69.0,635.0,155.0,480.0,635.0,0.0,192.0,39.0,153.0,192.0,0.0,53.0,33.0,33.0,20.0,2009
TN-502,Knoxville/Knox County CoC,Sheltered and Unsheltered Count,959.0,461.0,381.0,842.0,117.0,825.0,418.0,299.0,717.0,108.0,134.0,43.0,82.0,125.0,9.0,45.0,12.0,30.0,42.0,3.0,250.0,190.0,190.0,60.0,2009
TN-503,Central Tennessee CoC,Sheltered and Unsheltered Count,226.0,92.0,89.0,181.0,45.0,171.0,60.0,68.0,128.0,43.0,55.0,32.0,21.0,53.0,2.0,20.0,12.0,7.0,19.0,1.0,26.0,15.0,15.0,11.0,2009
TN-504,Nashville-Davidson County CoC,Sheltered and Unsheltered Count,2236.0,1114.0,724.0,1838.0,398.0,2017.0,1052.0,567.0,1619.0,398.0,219.0,62.0,157.0,219.0,0.0,96.0,27.0,69.0,96.0,0.0,1423.0,1025.0,1025.0,398.0,2009
TN-506,Upper Cumberland CoC,Sheltered and Unsheltered Count,1229.0,139.0,57.0,196.0,1033.0,591.0,120.0,35.0,155.0,436.0,638.0,19.0,22.0,41.0,597.0,297.0,7.0,4.0,11.0,286.0,153.0,62.0,62.0,91.0,2009
TN-507,Jackson/West Tennessee CoC,Sheltered and Unsheltered Count,2214.0,987.0,139.0,1126.0,1088.0,2022.0,938.0,101.0,1039.0,983.0,192.0,49.0,38.0,87.0,105.0,71.0,16.0,10.0,26.0,45.0,251.0,28.0,28.0,223.0,2009
TN-509,Appalachian Regional CoC,Sheltered and Unsheltered Count,840.0,564.0,77.0,641.0,199.0,743.0,522.0,36.0,558.0,185.0,97.0,42.0,41.0,83.0,14.0,30.0,15.0,12.0,27.0,3.0,68.0,37.0,37.0,31.0,2009
TN-510,Murfreesboro/Rutherford County CoC,Sheltered and Unsheltered Count,204.0,99.0,13.0,112.0,92.0,160.0,61.0,7.0,68.0,92.0,44.0,38.0,6.0,44.0,0.0,14.0,12.0,2.0,14.0,0.0,62.0,6.0,6.0,56.0,2009
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",Sheltered and Unsheltered Count,498.0,339.0,8.0,347.0,151.0,178.0,117.0,8.0,125.0,53.0,320.0,222.0,0.0,222.0,98.0,155.0,127.0,0.0,127.0,28.0,184.0,65.0,65.0,119.0,2009
TX-500,San Antonio/Bexar County CoC,Sheltered and Unsheltered Count,2690.0,728.0,855.0,1583.0,1107.0,1906.0,453.0,377.0,830.0,1076.0,784.0,275.0,478.0,753.0,31.0,256.0,81.0,166.0,247.0,9.0,612.0,298.0,298.0,314.0,2009
TX-503,Austin/Travis County CoC,Sheltered and Unsheltered Count,2641.0,870.0,548.0,1418.0,1223.0,1978.0,594.0,184.0,778.0,1200.0,663.0,276.0,364.0,640.0,23.0,215.0,73.0,135.0,208.0,7.0,529.0,179.0,179.0,350.0,2009
TX-600,"Dallas City & County, Irving CoC",Sheltered and Unsheltered Count,3701.0,2032.0,1493.0,3525.0,176.0,2225.0,1514.0,547.0,2061.0,164.0,1476.0,518.0,946.0,1464.0,12.0,452.0,161.0,288.0,449.0,3.0,601.0,528.0,528.0,73.0,2009
TX-601,"Fort Worth, Arlington/Tarrant County CoC",Sheltered and Unsheltered Count,2181.0,1148.0,838.0,1986.0,195.0,1299.0,879.0,225.0,1104.0,195.0,882.0,269.0,613.0,882.0,0.0,281.0,81.0,200.0,281.0,0.0,209.0,147.0,147.0,62.0,2009
TX-603,El Paso City & County CoC,Sheltered and Unsheltered Count,1260.0,567.0,397.0,964.0,296.0,768.0,342.0,136.0,478.0,290.0,492.0,225.0,261.0,486.0,6.0,159.0,73.0,83.0,156.0,3.0,205.0,69.0,69.0,136.0,2009
TX-604,Waco/McLennan County CoC,Sheltered and Unsheltered Count,312.0,107.0,119.0,226.0,86.0,231.0,86.0,65.0,151.0,80.0,81.0,21.0,54.0,75.0,6.0,24.0,7.0,16.0,23.0,1.0,48.0,29.0,29.0,19.0,2009
TX-607,Texas Balance of State CoC,Sheltered and Unsheltered Count,15327.0,4015.0,1629.0,5644.0,9683.0,7482.0,2101.0,807.0,2908.0,4574.0,7845.0,1914.0,822.0,2736.0,5109.0,3234.0,730.0,264.0,994.0,2240.0,1743.0,602.0,602.0,1141.0,2009
TX-611,Amarillo CoC,Sheltered and Unsheltered Count,566.0,306.0,133.0,439.0,127.0,335.0,238.0,4.0,242.0,93.0,231.0,68.0,129.0,197.0,34.0,71.0,22.0,33.0,55.0,16.0,86.0,48.0,48.0,38.0,2009
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered and Unsheltered Count,242.0,235.0,0.0,235.0,7.0,215.0,208.0,0.0,208.0,7.0,27.0,27.0,0.0,27.0,0.0,11.0,11.0,0.0,11.0,0.0,190.0,183.0,183.0,7.0,2009
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered and Unsheltered Count,7576.0,2530.0,2927.0,5457.0,2119.0,5902.0,1971.0,2066.0,4037.0,1865.0,1674.0,559.0,861.0,1420.0,254.0,561.0,180.0,317.0,497.0,64.0,1739.0,613.0,613.0,1126.0,2009
TX-701,"Bryan, College Station/Brazos Valley CoC",Sheltered and Unsheltered Count,265.0,134.0,47.0,181.0,84.0,223.0,119.0,27.0,146.0,77.0,42.0,15.0,20.0,35.0,7.0,18.0,5.0,10.0,15.0,3.0,58.0,45.0,45.0,13.0,2009
UT-500,Salt Lake City & County CoC,Sheltered and Unsheltered Count,1811.0,852.0,847.0,1699.0,112.0,1050.0,592.0,346.0,938.0,112.0,761.0,260.0,501.0,761.0,0.0,288.0,83.0,205.0,288.0,0.0,376.0,264.0,264.0,112.0,2009
UT-503,Utah Balance of State CoC,Sheltered and Unsheltered Count,1685.0,1083.0,503.0,1586.0,99.0,1015.0,619.0,297.0,916.0,99.0,670.0,464.0,206.0,670.0,0.0,208.0,147.0,61.0,208.0,0.0,228.0,129.0,129.0,99.0,2009
UT-504,Provo/Mountainland CoC,Sheltered and Unsheltered Count,299.0,145.0,110.0,255.0,44.0,177.0,103.0,30.0,133.0,44.0,122.0,42.0,80.0,122.0,0.0,41.0,16.0,25.0,41.0,0.0,96.0,52.0,52.0,44.0,2009
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",Sheltered and Unsheltered Count,1150.0,433.0,645.0,1078.0,72.0,926.0,373.0,481.0,854.0,72.0,224.0,60.0,164.0,224.0,0.0,84.0,21.0,63.0,84.0,0.0,73.0,54.0,54.0,19.0,2009
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",Sheltered and Unsheltered Count,685.0,444.0,109.0,553.0,132.0,470.0,309.0,52.0,361.0,109.0,215.0,135.0,57.0,192.0,23.0,69.0,43.0,18.0,61.0,8.0,83.0,49.0,49.0,34.0,2009
VA-502,"Roanoke City & County, Salem CoC",Sheltered and Unsheltered Count,597.0,416.0,170.0,586.0,11.0,433.0,294.0,128.0,422.0,11.0,164.0,122.0,42.0,164.0,0.0,71.0,49.0,22.0,71.0,0.0,247.0,238.0,238.0,9.0,2009
VA-503,Virginia Beach CoC,Sheltered and Unsheltered Count,433.0,242.0,152.0,394.0,39.0,215.0,147.0,29.0,176.0,39.0,218.0,95.0,123.0,218.0,0.0,69.0,28.0,41.0,69.0,0.0,50.0,30.0,30.0,20.0,2009
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,199.0,135.0,50.0,185.0,14.0,161.0,124.0,23.0,147.0,14.0,38.0,11.0,27.0,38.0,0.0,12.0,4.0,8.0,12.0,0.0,88.0,77.0,77.0,11.0,2009
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",Sheltered and Unsheltered Count,569.0,265.0,249.0,514.0,55.0,422.0,198.0,179.0,377.0,45.0,147.0,67.0,70.0,137.0,10.0,60.0,30.0,26.0,56.0,4.0,78.0,62.0,62.0,16.0,2009
VA-507,Portsmouth CoC,Sheltered and Unsheltered Count,303.0,133.0,60.0,193.0,110.0,194.0,88.0,20.0,108.0,86.0,109.0,45.0,40.0,85.0,24.0,36.0,13.0,14.0,27.0,9.0,67.0,35.0,35.0,32.0,2009
VA-508,Lynchburg CoC,Sheltered and Unsheltered Count,255.0,147.0,64.0,211.0,44.0,133.0,56.0,33.0,89.0,44.0,122.0,91.0,31.0,122.0,0.0,44.0,35.0,9.0,44.0,0.0,53.0,30.0,30.0,23.0,2009
VA-513,"Harrisburg, Winchester/Western Virginia CoC",Sheltered and Unsheltered Count,229.0,144.0,24.0,168.0,61.0,88.0,68.0,5.0,73.0,15.0,141.0,76.0,19.0,95.0,46.0,51.0,26.0,9.0,35.0,16.0,36.0,34.0,34.0,2.0,2009
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",Sheltered and Unsheltered Count,202.0,66.0,29.0,95.0,107.0,140.0,37.0,3.0,40.0,100.0,62.0,29.0,26.0,55.0,7.0,20.0,9.0,8.0,17.0,3.0,52.0,7.0,7.0,45.0,2009
VA-521,Virginia Balance of State CoC,Sheltered and Unsheltered Count,881.0,389.0,210.0,599.0,282.0,426.0,201.0,55.0,256.0,170.0,455.0,188.0,155.0,343.0,112.0,154.0,64.0,49.0,113.0,41.0,193.0,75.0,75.0,118.0,2009
VA-600,Arlington County CoC,Sheltered and Unsheltered Count,511.0,169.0,135.0,304.0,207.0,322.0,100.0,15.0,115.0,207.0,189.0,69.0,120.0,189.0,0.0,56.0,22.0,34.0,56.0,0.0,138.0,52.0,52.0,86.0,2009
VA-601,Fairfax County CoC,Sheltered and Unsheltered Count,1730.0,642.0,959.0,1601.0,129.0,663.0,415.0,119.0,534.0,129.0,1067.0,227.0,840.0,1067.0,0.0,315.0,70.0,245.0,315.0,0.0,297.0,193.0,193.0,104.0,2009
VA-602,Loudoun County CoC,Sheltered and Unsheltered Count,143.0,67.0,41.0,108.0,35.0,49.0,22.0,3.0,25.0,24.0,94.0,45.0,38.0,83.0,11.0,28.0,14.0,11.0,25.0,3.0,19.0,7.0,7.0,12.0,2009
VA-603,Alexandria CoC,Sheltered and Unsheltered Count,335.0,180.0,123.0,303.0,32.0,200.0,125.0,43.0,168.0,32.0,135.0,55.0,80.0,135.0,0.0,43.0,16.0,27.0,43.0,0.0,76.0,52.0,52.0,24.0,2009
VA-604,Prince William County CoC,Sheltered and Unsheltered Count,630.0,223.0,169.0,392.0,238.0,224.0,114.0,4.0,118.0,106.0,406.0,109.0,165.0,274.0,132.0,135.0,31.0,58.0,89.0,46.0,71.0,39.0,39.0,32.0,2009
VI-500,Virgin Islands CoC,Sheltered and Unsheltered Count,471.0,40.0,36.0,76.0,395.0,430.0,5.0,30.0,35.0,395.0,41.0,35.0,6.0,41.0,0.0,18.0,15.0,3.0,18.0,0.0,369.0,4.0,4.0,365.0,2009
VT-500,Vermont Balance of State CoC,Sheltered and Unsheltered Count,649.0,245.0,279.0,524.0,125.0,394.0,122.0,174.0,296.0,98.0,255.0,123.0,105.0,228.0,27.0,84.0,41.0,32.0,73.0,11.0,73.0,33.0,33.0,40.0,2009
VT-501,Burlington/Chittenden County CoC,Sheltered and Unsheltered Count,565.0,350.0,183.0,533.0,32.0,299.0,156.0,119.0,275.0,24.0,266.0,194.0,64.0,258.0,8.0,109.0,75.0,30.0,105.0,4.0,61.0,46.0,46.0,15.0,2009
WA-500,Seattle/King County CoC,Sheltered and Unsheltered Count,8952.0,2552.0,3537.0,6089.0,2863.0,5603.0,1837.0,939.0,2776.0,2827.0,3349.0,715.0,2598.0,3313.0,36.0,1028.0,204.0,811.0,1015.0,13.0,977.0,611.0,611.0,366.0,2009
WA-501,Washington Balance of State CoC,Sheltered and Unsheltered Count,7003.0,2318.0,2732.0,5050.0,1953.0,3362.0,1343.0,728.0,2071.0,1291.0,3641.0,975.0,2004.0,2979.0,662.0,1232.0,349.0,641.0,990.0,242.0,666.0,362.0,362.0,304.0,2009
WA-502,Spokane City & County CoC,Sheltered and Unsheltered Count,1229.0,645.0,427.0,1072.0,157.0,673.0,412.0,146.0,558.0,115.0,556.0,233.0,281.0,514.0,42.0,174.0,70.0,83.0,153.0,21.0,270.0,190.0,190.0,80.0,2009
WA-503,"Tacoma, Lakewood/Pierce County CoC",Sheltered and Unsheltered Count,2083.0,507.0,1346.0,1853.0,230.0,748.0,322.0,224.0,546.0,202.0,1335.0,185.0,1122.0,1307.0,28.0,398.0,50.0,338.0,388.0,10.0,321.0,155.0,155.0,166.0,2009
WA-504,Everett/Snohomish County CoC,Sheltered and Unsheltered Count,2356.0,343.0,903.0,1246.0,1110.0,1163.0,217.0,76.0,293.0,870.0,1193.0,126.0,827.0,953.0,240.0,399.0,44.0,277.0,321.0,78.0,217.0,154.0,154.0,63.0,2009
WA-508,Vancouver/Clark County CoC,Sheltered and Unsheltered Count,1159.0,349.0,578.0,927.0,232.0,537.0,148.0,247.0,395.0,142.0,622.0,201.0,331.0,532.0,90.0,234.0,67.0,137.0,204.0,30.0,158.0,136.0,136.0,22.0,2009
WI-500,Wisconsin Balance of State CoC,Sheltered and Unsheltered Count,3992.0,1623.0,1584.0,3207.0,785.0,1588.0,859.0,476.0,1335.0,253.0,2404.0,764.0,1108.0,1872.0,532.0,811.0,259.0,362.0,621.0,190.0,254.0,219.0,219.0,35.0,2009
WI-501,Milwaukee City & County CoC,Sheltered and Unsheltered Count,1537.0,638.0,679.0,1317.0,220.0,974.0,434.0,392.0,826.0,148.0,563.0,204.0,287.0,491.0,72.0,173.0,68.0,81.0,149.0,24.0,314.0,258.0,258.0,56.0,2009
WI-502,Racine City & County CoC,Sheltered and Unsheltered Count,354.0,154.0,199.0,353.0,1.0,250.0,128.0,121.0,249.0,1.0,104.0,26.0,78.0,104.0,0.0,31.0,6.0,25.0,31.0,0.0,11.0,11.0,11.0,0.0,2009
WI-503,Madison/Dane County CoC,Sheltered and Unsheltered Count,642.0,374.0,214.0,588.0,54.0,349.0,201.0,122.0,323.0,26.0,293.0,173.0,92.0,265.0,28.0,93.0,52.0,30.0,82.0,11.0,137.0,124.0,124.0,13.0,2009
WV-500,"Wheeling, Weirton Area CoC",Sheltered and Unsheltered Count,87.0,72.0,15.0,87.0,0.0,71.0,67.0,4.0,71.0,0.0,16.0,5.0,11.0,16.0,0.0,6.0,2.0,4.0,6.0,0.0,21.0,21.0,21.0,0.0,2009
WV-501,"Huntington/Cabell, Wayne Counties CoC",Sheltered and Unsheltered Count,195.0,117.0,73.0,190.0,5.0,130.0,95.0,30.0,125.0,5.0,65.0,22.0,43.0,65.0,0.0,20.0,6.0,14.0,20.0,0.0,42.0,38.0,38.0,4.0,2009
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",Sheltered and Unsheltered Count,382.0,232.0,99.0,331.0,51.0,284.0,172.0,61.0,233.0,51.0,98.0,60.0,38.0,98.0,0.0,28.0,19.0,9.0,28.0,0.0,102.0,59.0,59.0,43.0,2009
WV-508,West Virginia Balance of State CoC,Sheltered and Unsheltered Count,1003.0,372.0,298.0,670.0,333.0,616.0,245.0,174.0,419.0,197.0,387.0,127.0,124.0,251.0,136.0,123.0,46.0,38.0,84.0,39.0,172.0,121.0,121.0,51.0,2009
WY-500,Wyoming Statewide CoC,Sheltered and Unsheltered Count,515.0,185.0,266.0,451.0,64.0,340.0,120.0,162.0,282.0,58.0,175.0,65.0,104.0,169.0,6.0,72.0,19.0,51.0,70.0,2.0,79.0,30.0,30.0,49.0,2009
